Date,Voice Message,Mood Prompt,Cyber Tips,Image URL,Daily Mantra,"Whats on YOUR Mind, sis? (Anonymous Post)","Music URL
"
/TBD,ğŸ§ Play,What's one word to describe how you feel today?,"Never click on a link in a suspicious email, even if it looks legit. ( Facts )",,You are not behind. You are on your own timeline boo!,"ğŸ’¬ Whatâ€™s on YOUR Mind, sis? Tap to Post","https://docs.google.com/uc?export=download&id=1NWziPMsMaH4qeWJQllma2WbNFT2YhRPz
"
/TBD,ğŸ§ Play,What does being a WOMAN mean to you?,Keep your software up to date to stay safe from cyber threats like ransomware. ,,I love and accept myself unconditionally baby!,Write an Anonymous Message,
/TBD,ğŸ§ Play,What are some challenges you've faced because of your identity as a woman?,"Use strong passwords and use a password management tool. ( i.e. a lock screen, bio-meterics ) ",,"My worth is inherent, and I am enough!",ğŸ’­ Tap here to post anonymously,
/TBD,ğŸ§ Play,Think about the women in your family. How have their stories/experiences as women influenced you or molded your existence?,Be wary of phising scams!!! Think before you click!!!,,I am proud of who I am and where I come from. ,"ğŸ’…ğŸ½ Drop the drama, sis â€” tap to vent anonymously",
/TBD,ğŸ§ Play,Who is a woman that you admire and look up to?,"Content, Contact, Conduct, and Commerce ( the 4 C's aka CONTRACT )",,I am in control of my own destiny.,"ğŸ“ Whatâ€™s on YOUR Mind, sis?",
/TBD,ğŸ§ Play,What role does your heritage play into your everyday life?,Never ever leave your device unattended unless you dont mind sharing your personal info with the world.,,I am grateful for all the blessings in my life. ,Write an Anonymous Message,
/TBD,ğŸ§ Play,"How do you balance different aspects of your identity? ( race, gender, or culture )",Be sure to perform factory resets on all your devices before throwing them out. Thank me later. ,,I am a leader and a change-maker!,Write an Anonymous Message,
/TBD,ğŸ§ Play,Write about a time when you felt seen and appreciated for being a woman? or yourself?,"When charging a device in public, use an AC outlet. AC outlets only transmit power, not data. ",,I am worthy of love and respect!,"ğŸ“ Whatâ€™s on YOUR Mind, sis?",
/TBD,ğŸ§ Play,What would you tell your younger self knowing what you know now about life and experiences? Would you change your fate if given the opportunity?,Only use a charge-only USB adapter or a USB data blower when using public charging stations. This will will block the data from leaving your device. ,,I choose to focus on the positive and let go of the negative.,Write an Anonymous Message,
/TBD,ğŸ§ Play,What would you want to be remembered for when you transition out of this life? ,"Turn off Auto-fill. Although its a convient feature, it will be hell if it got into the wrong hands. PII handed straight over to malicious actors.",,"I am skilled, capable, and ready to take on challenges!",ğŸ¤ Say it with your chest... but anonymously ğŸ˜Œ,
/TBD,ğŸ§ Play,What energy are you bringing into today?,Turn on 2FA ( Two-Factor Authentication) for all your important accounts like banks. ,,Your presence matters. You dont have to do more than enough.,"ğŸ§˜ğŸ½â€â™€ï¸ Breathe deep, sis â€” drop your truth anonymously",
/TBD,ğŸ§ Play,"On a scale of 1-5, how rested do you feel today?","Don't store sensitive info in plain text â€” encrypt your notes or use secure apps.

",,You're doing the best you can with what you've got!,ğŸ¤ Say it with your chest... but anonymously ğŸ˜Œ,
/TBD,ğŸ§ Play,What's one thing you need less of today?,"Use different passwords for your email, banking, and social media â€” donâ€™t link your whole life to one key.",,Rest is productive. Period Pooh!,"ğŸ’…ğŸ½ Drop the drama, sis â€” tap to vent anonymously",
/TBD,ğŸ§ Play,When is the last time you gave yourself GRACE?,Cover your webcam when not in use. Hackers can access it without you knowing,,Softness is strength.,ğŸ¤ Say it with your chest... but anonymously ğŸ˜Œ,
/TBD,ğŸ§ Play,How can/do you protect your PEACE?,Beware of emotional manipulation in messages â€” scammers prey on urgency and fear.,,"Protect your peace like it is sacred, b/c it sure is!","ğŸ§˜ğŸ½â€â™€ï¸ Breathe deep, sis â€” drop your truth anonymously",
/TBD,ğŸ§ Play,Which boundaries do you need to enforce more in your life?,Delete apps you no longer use â€” they can still collect your data.,,Growth is messy but that's ok.,"ğŸ§˜ğŸ½â€â™€ï¸ Breathe deep, sis â€” drop your truth anonymously",
/TBD,ğŸ§ Play,"What helps you disconnect from the world, but in a healthy way?","Back up important files to a secure cloud or external drive regularly.

",,"Joy is your birthright, not a luxury!","ğŸ“ Whatâ€™s on YOUR Mind, sis?",
/TBD,ğŸ§ Play,What would be one small joy you could give to yourself?,"Implement SPF, DKIM, and DMARC protocols to prevent email spoofing and phishing attacks.",,You dont have to explain your boundaries to NOBODY!,"ğŸ’…ğŸ½ Drop the drama, sis â€” tap to vent anonymously",
/TBD,ğŸ§ Play,When was the last time you just held yourself in solitude? Did it bring you peace or did it scare you?,"Do not reuse passwords, entirely or partially",,Your healing is not a burden. It is your revolution baby!,"ğŸ” Your thoughts, your space â€” click to post in private",
/TBD,ğŸ§ Play,What's one word that describes how I'm feel right now?,Be CAUTIOUS with QR codes. Not all of them are safe.,,I trust myself to make the best decsions for me.,"ğŸ” Your thoughts, your space â€” click to post in private",
/TBD,ğŸ§ Play,Who/What influenced my mood for today?,Google yourself today; who knows what others can find out about you.,,I can rest without guilt. ,ğŸ¤ Say it with your chest... but anonymously ğŸ˜Œ,
/TBD,ğŸ§ Play,Are these feelings mine or did I pick it up from someone else?,"Log out of accounts when your done, especially on shared devices. ",,My energy is sacred and I protect it accordingly.,ğŸ’­ Tap here to post anonymously,
/TBD,ğŸ§ Play,What's my body telling me about my emotions today?,"If something feels OFF online, pause and trust your instincts. It is what you think it is.",,"I attract only aligned, authentic, and aspiring connections. ","ğŸ’…ğŸ½ Drop the drama, sis â€” tap to vent anonymously",
/TBD,ğŸ§ Play,Am I being honest with myself about how I feel today?,Update tour devices. Old software = easy target,,Today i choose softness without shame. ,Write an Anonymous Message,
/TBD,ğŸ§ Play,"If you had a mood weather forecast, what would it be?",Avoid public Wifi if you can for sensitive information or you could adapt to utilizing a VPN.,,"I am free to outgrow people, place, and patterns. ",Write an Anonymous Message,
/TBD,ğŸ§ Play,What is something that I'm holding in that needs to be released?,Back up your files weekly. The future self will thank you.,,There's power in my pause or purpose.,"ğŸ“ Whatâ€™s on YOUR Mind, sis?",
/TBD,ğŸ§ Play,What is one small win I had today that reflected in my personal or professional growth?,Dont trust every email. Make sure to hover over the links before clicking on them. ,,I am not behind. Iam blooming on my time.,"ğŸ“ Whatâ€™s on YOUR Mind, sis?",
/TBD,ğŸ§ Play,Is my current mood helping or hurting my goals?,Check your privacy settings and don't let apps overshare your digital info. ,,Each breathe grounds me deeper into my peace. ,"ğŸ“ Whatâ€™s on YOUR Mind, sis?",
/TBD,ğŸ§ Play,"What parts part of me do I show when at work? Is it curious, confident, doubtful, or driven?",Utilize different passwords. Reusing is pretty risky especially for banking apps. ,,I deserve a life that feels good to wake up to!,"ğŸ“ Whatâ€™s on YOUR Mind, sis?",